"","ID","SMILES"
"650","Prestw-105","[C@]12(\C(=C/c3c(C1)cno3)\CC[C@@]1([C@@]2(CC[C@]2([C@]1(CC[C@]2(C#C)O)[H])C)[H])[H])C"
"657","Prestw-106","[N+]([O-])(=O)OCCNC(c1cnccc1)=O"
"662","Prestw-1314","N1C(SC(C1=O)Cc1ccc(cc1)OCCc1ncc(cc1)CC)=O"
"666","Prestw-108","c12c(C(CN(C1)C)c1ccccc1)cccc2N"
"668","Prestw-109","[C@]12(N[C@@H](c3c1cccc3)Cc1c2cccc1)C"
"670","Prestw-1192","[C@]12([C@@]3([C@]([C@]4([C@@]([C@](CC4)(O)C)(CC3)C)[H])(CC[C@]1(CC(OC2)=O)[H])[H])[H])C"
"686","Prestw-111","[C@]123[C@@]4([C@H](N(CC1)CC=C)Cc1c2c(O[C@H]3C(CC4)=O)c(cc1)O)O"
"691","Prestw-112","N1(C(c2c(NC1C)cc(c(S(=O)(=O)N)c2)Cl)=O)c1c(C)cccc1"
"700","Prestw-113","C=1(/C(c2c(N(\C1)C1CC1)cc(c(c2)F)N1CCNCC1)=O)\C(=O)O"
"710","Prestw-114","N12[C@@H]([C@@H](C1=O)NC([C@@H](c1ccccc1)N)=O)SC([C@@H]2C(=O)O)(C)C"
"715","Prestw-115","C1(CCN(CC1)CCCC(c1ccc(cc1)F)=O)(c1ccc(cc1)Cl)O"
"724","Prestw-116","[C@]123[C@@]4([C@H](N(CC5CC5)CC1)Cc1c2c(O[C@H]3C(CC4)=O)c(cc1)O)O"
"731","Prestw-117","C(CCN(C)C)(c1ccc(cc1)Cl)c1ncccc1"
"744","Prestw-118","[C@]123[C@@]4([C@H](N(CC1)CC1CCC1)Cc1c2c(O[C@H]3[C@H](CC4)O)c(cc1)O)O"
"750","Prestw-119","c1(C(NCc2cnccc2)=O)cc(C(NCc2cnccc2)=O)ccc1OC"
"753","Prestw-120","[C@]12([C@]([C@@H](C[C@]1([C@]1([C@@]([C@@]\3(\C(=C/C(\C=C3)=O)\CC1)C)([C@H](C2)O)F)[H])[H])O)(C(=O)CO)O)C"
"762","Prestw-121","N12[C@@](O[C@](C1=O)(NC([C@@H]1\C=C/3\c4c5c(c([nH]c5ccc4)Br)C[C@]3(N(C1)C)[H])=O)C(C)C)([C@]1(N(C([C@@H]2CC(C)C)=O)CCC1)[H])O"
"772","Prestw-1471","C(C(N(CC)CC)C)(=O)c1ccccc1"
"779","Prestw-123","[C@]12([C@]([C@]3([C@@]([C@@]4([C@](CC3=O)(CC(=O)CC4)[H])C)(CC1=O)[H])[H])(CC[C@@H]2[C@@H](CCC(=O)O)C)[H])C"
"782","Prestw-1184","c1(c(scc1)Cl)COC(c1c(cc(cc1)Cl)Cl)Cn1cncc1"
"784","Prestw-125","N1(c2c(Sc3c1cccc3)ccc(c2)Cl)CCCN1CCN(CC1)CCO"
"798","Prestw-126","c12nc(C(F)(F)F)cc(c1cccc2C(F)(F)F)C(C1NCCCC1)O"
