"","V1","V2"
"408","ClC(=O)Cc1cc(ccc1)OC","316938"
"409","ClC(=O)Cc1ccc(cc1)OC","365696"
"410","ClC(=O)Cc1ccccc1","P16753"
"411","ClC(=O)CC1CCCCC1","655740"
"412","ClC(=O)CN1C(=O)c2c(cccc2)C1=O","636401"
"413","ClC(=O)COC(=O)C","302368"
"414","ClC(=O)COCC(=O)Cl","378151"
"415","ClC(=O)COCc1ccccc1","301019"
"416","ClC(=O)COC","M9653"
"417","ClC(=O)CO[C@H]1[C@@H](CC[C@H](C1)C)C(C)C","453714"
"418","ClC(=O)COc1ccccc1","158623"
"419","ClC(=O)C","320129"
"420","ClC(=O)C=C(C)C","183660"
"421","ClC(=O)C=C","549797"
"422","ClC(=O)/C=C/C(=O)Cl","151386"
"423","ClC(=O)/C=C/C(=O)OCC","669695"
"424","ClC(=O)/C=C/C","127787"
"425","ClC(=O)/C=C/C=C/C","688797"
"426","ClC(=O)/C=C/c1ccc(cc1)/C=C/C(=O)Cl","589071"
"427","ClC(=O)/C=C/c1ccc(cc1)[N+](=O)[O-]","364754"
"428","ClC(=O)/C=C/c1ccccc1","C81101"
"429","ClC(=O)/C=C/OCC","691119"
"430","ClC(=O)[C@]12C[C@@H]3C[C@H](C1)C[C@H](C2)C3","117722"
"431","ClC(=O)[C@]12[C@@H]3C[C@H](C1)C[C@H](C2)C3","678678"
"432","ClC(=O)[C@@H]1[C@@H]2C[C@H]([C@H]1C(=O)Cl)C=C2","114154"
"433","ClC(=O)[C@]12OC(=O)[C@](C1(C)C)(CC2)C","21286"
"434","ClC(=O)[C@H]1[C@@H](C1)c1ccccc1","134309"
"435","ClC(=O)[C@@]12OC(=O)[C@@](C1(C)C)(CC2)C","226173"
"436","ClC(=O)C1(c2c(cccc2)c2c1cccc2)C","745022"
"437","ClC(=O)c1c(cc(cc1C)C)C","682519"
"438","ClC(=O)c1c(cc(cc1)OC)OC","373834"
"439","ClC(=O)c1c(ccc(c1)OCC)OCC","638986"
"440","ClC(=O)c1c(cccc1OC)OC","262420"
"441","ClC(=O)c1c(cccc1)C(=O)Cl","P40409"
"442","ClC(=O)c1c(cccc1)C(=O)OC","672769"
"443","ClC(=O)c1c(cccc1)CC","687928"
"444","ClC(=O)c1c(cccc1)COC(=O)c1ccccc1","13032"
"445","ClC(=O)c1c(cccc1)C","122017"
"446","ClC(=O)c1c(cccc1)[N+](=O)[O-]","322717"
"447","ClC(=O)c1c(cccc1)OC(=O)C","165190"
"448","ClC(=O)c1c(cccc1)OCC","638978"
"449","ClC(=O)c1c(cccc1)OCc1ccccc1","707597"
"450","ClC(=O)c1c(cccc1)OC","254703"
"451","ClC(=O)c1c(oc(c1)C)C","530638"
"452","ClC(=O)c1c(occ1)C","678597"
"453","ClC(=O)c1cc(c(c(c1)OC)OC)OC","T69809"
"454","ClC(=O)c1cc(c(cc1)C)[N+](=O)[O-]","428949"
"455","ClC(=O)c1cc(c(cc1)OC)OC","258040"
"456","ClC(=O)c1cc(cc(c1)C(=O)Cl)C(=O)Cl","147532"
"457","ClC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]","156272"
"458","ClC(=O)c1cc(cc(c1)OCC)OCC","634913"
